CGJ,-0.031745438,-0.7482883
CLM,-0.21094064,-0.4764138
JPS,-0.13039297,-0.9132807
CWE,-0.06838725,-0.8995076
UXK,0.18129674,-0.071206905
RDB,-0.12640974,-0.66335875
NXT,-0.20666873,-0.45573115
XBH,-0.18961969,-0.5961768
JQG,0.19783641,0.27964386
EGW,-0.3906652,-0.5917734
LZN,-0.12793508,-0.6070458
RNU,0.85954946,-0.22365172
NCO,1.0151421,0.15261754
SVI,0.29437217,-0.4478549
LRH,0.10150972,0.31088254
HJL,-0.18526985,-0.32789057
LOL,-0.25546223,-0.48720312
IRW,0.17830761,-0.1491271
ZDX,0.5056044,-0.22793812
PQG,-0.35945502,0.81806093
WKM,-0.23092538,0.20689389
FEL,0.26468927,-0.22687808
YTH,-0.5540121,1.1227418
ZUZ,-0.46593904,-0.2914
WAI,-0.20859693,-0.38775948
DSF,-0.04727488,0.33910805
MLL,-0.15698348,0.06111783
PAW,-0.14946444,0.5120501
TDC,-0.4393227,-0.44989976
OXW,0.7017733,0.2646258
SKU,1.1054432,0.09051464
WGR,-0.15564772,-0.34470013
RIP,-0.31684846,-0.46514004
NNS,-0.24282464,0.100411825
ECV,-0.2887853,0.119145505
EPW,-0.45255554,0.9034034
AQF,-0.68336767,0.020418022
ZZF,-0.3252467,-0.36986873
GEJ,-0.5694446,0.6594236
UVW,-0.054423653,-0.09895537
JTT,-0.62498915,-0.35049546
QAK,-0.12819181,0.37868756
AXO,-0.52769744,-0.49048004
OAE,0.44217932,0.09985896
AOH,-0.7799162,-0.07367656
DFF,-0.38521227,-0.32552448
IXF,0.16968413,-0.049574547
QQE,-0.30519867,-0.18764687
CMA,-0.56585544,-0.064227596
MGO,-0.036750756,-0.020596765
ETS,0.46412465,0.2669379
HSX,0.42057,0.2544633
OUY,0.57645994,-0.04549527
IVM,-0.7310164,-0.15699513
LEK,0.22781274,0.081951596
INN,-0.6269904,0.14318904
XCM,-0.16218722,0.24731436
BDW,0.06058012,-0.19221486
LRQ,0.044112302,0.17810117
DOX,-0.07216379,-0.38456443
UBT,0.3860792,0.18238045
KTQ,0.48181623,-0.09701379
PKM,0.011290661,0.123841874
ARL,-0.26904505,-0.2767993
XRT,-0.18570031,-0.1336114
ZMP,0.3500451,0.03558404
UBZ,0.477646,-0.0525251
ACR,0.43417764,-0.02387717
MHM,0.60630333,0.13356969
HDK,0.37090123,0.01671636
LIV,0.9760792,-0.04535025
TPS,0.27034333,-0.18058501
XEU,-0.58447754,0.94321597
SOE,-0.6122405,-0.08650973
SNA,-0.43601987,0.47610798
KLZ,-0.21883722,0.6750833
MMA,-0.5276726,0.9251995
HUN,-0.47937694,0.81616116
HMD,-0.5232207,1.0862283
HRN,-0.48912445,0.4496856
AJN,-0.4307868,1.0378925
UWO,-0.10054334,0.5463063
CIX,0.110902324,0.10686253
FSV,0.22813168,0.19379492
JDM,0.14221334,0.2398626
FFD,-0.8330376,0.16654144
RQY,-0.37091646,0.7408879
AJU,-0.8279995,0.13913186
VIT,-0.60750556,0.25285214
JMR,0.35734418,0.27309477
