SubjectCode,Triplet,Rep,RedJade Code A,roleA,RedJade Code B,roleB,Roles,Perceptual Distance,Structural Distance
P14,036 789 834,1,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,30.37120017,0.9473684210526316
P19,036 789 834,2,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,13.43664393,0.9411764705882352
P19,036 789 834,2,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,12.5960073,0.5714285714285714
P19,036 789 834,2,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,25.97488787,0.9473684210526316
P19,036 789 834,1,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,34.4003968,0.9411764705882352
P19,036 789 834,1,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,68.11012406,0.5714285714285714
P19,036 789 834,1,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,102.4532074,0.9473684210526316
P2,036 789 834,2,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,101.9886293,0.9411764705882352
P2,036 789 834,2,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,100.7444554,0.5714285714285714
P2,036 789 834,2,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,71.49062316,0.9473684210526316
P2,036 789 834,1,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,41.78231683,0.9411764705882352
P2,036 789 834,1,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,89.76332937,0.5714285714285714
P2,036 789 834,1,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,117.3458994,0.9473684210526316
P23,036 789 834,1,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,62.0987681,0.9411764705882352
P23,036 789 834,1,ZTW,anchor,MDD,label_cliff,anchor.to.label_cliff,92.91937634,0.5714285714285714
P23,036 789 834,1,XCM,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,100.369729,0.9473684210526316
P25,036 789 834,2,ZTW,anchor,XCM,struct_cliff,anchor.to.struct_cliff,67.26155291,0.9411764705882352
